大马,#genre#
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8
CCTV5+,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010202/1.m3u8
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV7,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8
CCTV8,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8
CCTV9,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8
CCTV10,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8
CCTV11,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV12,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV13,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV14,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV15,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV17,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8
4KUHD,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8

台湾,#genre#
player=2
ua=cwchttp/3.18
TVBS新闻,https://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv072
民视新闻,https://www.youtube.com/live/ylYJSBUgaMA
台视新闻,https://www.youtube.com/watch?v=xL0ch83RAK8
台视新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv051
中视新闻,https://www.youtube.com/watch?v=TCnaIE_SAtM
中视新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv074
华视新闻,https://www.youtube.com/watch?v=wM0g8EoUZ_E
华视新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv052
中天新聞,https://www.youtube.com/live/oIgbl7t0S_w
中天新聞,http://cwc.serv00.net/litv.php?id=4gtv-4gtv009
寰宇新闻,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新闻,http://cwc.serv00.net/litv.php?id=litv-longturn14
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
镜新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv075
三立新闻,https://www.youtube.com/watch?v=oZdzzvxTfUY
非凡新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv010
非凡新闻,http://cwc.serv00.net/srttv.php?id=feifannews_twn
东森新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv152
东森财经新闻,http://cwc.serv00.net/litv.php?id=4gtv-4gtv153
HBO,http://cwc.serv00.net/srttv.php?id=hbohd_twn
龙华电影,http://cwc.serv00.net/litv.php?id=litv-longturn03
龙华电影,http://cwc.serv00.net/srttv.php?id=xingwei_movie
东森洋片,http://cwc.serv00.net/srttv.php?id=ettvwestern
龙华洋片,http://cwc.serv00.net/srttv.php?id=lunghuawestern_twn
好莱坞电影,http://cwc.serv00.net/srttv.php?id=hollywoodmovies_twn
AMC电影台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv017
靖天电影台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv061
影迷数位电影台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv011
TVBS,http://cwc.serv00.net/litv.php?id=4gtv-4gtv073
TVBS,http://cwc.serv00.net/srttv.php?id=tvbs
TVBS欢乐,http://cwc.serv00.net/litv.php?id=4gtv-4gtv068
TVBS欢乐,http://cwc.serv00.net/srttv.php?id=tvbshuanle_twn
TVBS精采台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv067
民视,http://cwc.serv00.net/litv.php?id=4gtv-4gtv002
民視,http://cwc.serv00.net/srttv.php?id=ftvhd_taiwan
民視第一台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv003
民視第一台,http://cwc.serv00.net/srttv.php?id=lunghuajingdian_twn
民视台湾台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv001
民视台湾台,http://cwc.serv00.net/srttv.php?id=ftvtaiwan_twn
民视综艺,http://cwc.serv00.net/litv.php?id=4gtv-4gtv004
三立台湾,http://cwc.serv00.net/srttv.php?id=sanlitaiwan
三立戏剧,http://cwc.serv00.net/srttv.php?id=sanlixiju_twn
三立综合,http://cwc.serv00.net/srttv.php?id=sanlizhonghe
中天亚洲,http://cwc.serv00.net/srttv.php?id=ctiasia_twn
中视,http://cwc.serv00.net/litv.php?id=4gtv-4gtv040
中视,http://cwc.serv00.net/srttv.php?id=zhongshihd_twn
中天娱乐,http://cwc.serv00.net/srttv.php?id=ctient
中天综合,http://cwc.serv00.net/srttv.php?id=ctizhonghe
华视,http://cwc.serv00.net/litv.php?id=4gtv-4gtv041
台视,http://cwc.serv00.net/litv.php?id=4gtv-4gtv066
八大戏剧,http://cwc.serv00.net/srttv.php?id=badadrama
八大第一,http://cwc.serv00.net/srttv.php?id=badafirst
八大综合,http://cwc.serv00.net/srttv.php?id=badazhonghe
八大综艺台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv039
八大精彩台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv034
亚洲旅游,http://cwc.serv00.net/litv.php?id=litv-longturn17
亚洲旅游,http://cwc.serv00.net/srttv.php?id=asiatravel_twn
亚洲美食,http://cwc.serv00.net/srttv.php?id=afc_twn
哆啦Ａ梦台,http://cwc.serv00.net/litv.php?id=litv-vchannel17
靖天卡通台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv044
靖天综合台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv046
靖天日本台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv047
靖天戏剧台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv058
靖天育乐台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv062
靖天国际台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv063
靖洋卡通台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv057
靖洋戏剧台,http://cwc.serv00.net/litv.php?id=4gtv-4gtv045
ELTV生活英语台,http://cwc.serv00.net/litv.php?id=litv-longturn20
达文西频道,http://cwc.serv00.net/litv.php?id=4gtv-4gtv018

台湾(4GTV),#genre#
parse=1
player=2
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36
民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1
民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2
民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3
民視新聞台,https://www.4gtv.tv/channel/litv-ftv13?set=1&ch=31
民視綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=1&ch=16
民視旅遊台,https://www.4gtv.tv/channel/litv-ftv07?set=1&ch=61
民視影劇台,https://www.4gtv.tv/channel/litv-ftv09?set=1&ch=24
經典電影台,https://www.4gtv.tv/channel/4gtv-live021?set=1&ch=201
經典卡通台,https://www.4gtv.tv/channel/4gtv-live022?set=1&ch=202
兒童卡通台,https://www.4gtv.tv/channel/4gtv-live009?set=1&ch=269
精選動漫台,https://www.4gtv.tv/channel/4gtv-live024?set=1&ch=204
戲劇免費看 1台,https://www.4gtv.tv/channel/4gtv-live010?set=1&ch=270
戲劇免費看 2台,https://www.4gtv.tv/channel/4gtv-live006?set=1&ch=244
電影免費看 2台,https://www.4gtv.tv/channel/4gtv-live005?set=1&ch=245
超人力霸王整套看,https://www.4gtv.tv/channel/4gtv-live015?set=1&ch=278
花系列 經典劇場,https://www.4gtv.tv/channel/4gtv-live016?set=1&ch=279

自然,#genre#
player=2
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Paradise,https://www.youtube.com/watch?v=h-mRJ7XwOKQ
Flying Over Island,https://www.youtube.com/watch?v=FJh-YjXkL-A
Top 50 Beautiful Animals,https://www.youtube.com/watch?v=uXNU0XgGZhs

Live Cam,#genre#
player=2
台北大稻埕码头,https://www.youtube.com/watch?v=Ndo_8RuefH4
台北微风平台,https://www.youtube.com/watch?v=34h_Cy_n0Ok
台北碧山岩开漳圣王庙,https://www.youtube.com/watch?v=uvwfYzwY8tg
台北大佳河滨公园,https://www.youtube.com/watch?v=fP4ecxfsJos
台北市,https://www.youtube.com/watch?v=z_fY1pj1VBw
台湾阿里山,https://www.youtube.com/watch?v=jXcy8dmGYqg
东京新宿,https://www.youtube.com/watch?v=DjdUEyjx8GM
东京新宿2,https://www.youtube.com/watch?v=gFRtAAmiFbE
Levi Ski Resort Finland,https://www.youtube.com/watch?v=LwihxyJ4V20
Sydney Harbour Australia,https://www.youtube.com/watch?v=KPrrWB1eo1I
Isle of Wight UK,https://www.youtube.com/watch?v=Qa9Sx3ga3D0
New York Harbor USA,https://www.youtube.com/watch?v=MVHWUMu8Xs8

电台,#genre#
player=1
8FM,https://mediaprima.rastream.com/mediaprima-onefm
AsiaFM 亚洲热歌台,http://hot.asiafm.net:8000/asiafm
AsiaFM HD音乐台,http://asiafm.hk:8000/asiahd

测试1,#genre#
header={"CLIENT-IP":"127.0.0.1","X-FORWARDED-FOR":"127.0.0.1"}
player=2
无线新闻,http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MD8D9734527497345274&ct=19249&tsum=88c5d57f9fdce89810d61e1001910a80

广东地方(测试),#genre#
parse=1
player=2
ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
referer=https://m.gdtv.cn
纪录片,https://m.gdtv.cn/tvChannelDetail/94
